,date,info,text,target
187,1592,The Spanish tragedy,ieronimo o eyes no eyes but fountains fraught with tears o life no life but lively form of death o world no world but mass of public wrongs confus d and fill d with murder and misdeeds o sacred heav ns if this unhallowed deed if this inhuman and barbarous attempt if this incomparable murder thus of mine but now no more my son shall unreveal d and unreveng d pass how should we term your dealings to be just if you unjustly deal with those that in your justice trust,0
241,1603,Hamlet,tis a consummation devoutly to be wish d to die to sleep to sleep perchance to dream ay there s the rub for in that sleep of death what dreams may come when we have shuffled off this mortal coil must give us pause there s the respect that makes calamity of so long life for who would bear the whips and scorns of time th oppressor s wrong the proud man s contumely the pangs of despis d love the law s delay the insolence of office and the spurns that patient merit of th unworthy takes when he himself might his quietus make with a bare bodkin who would these fardels bear to grunt and sweat under a weary life but that the dread of something after death the undiscover d country from whose bourn no traveller returns puzzles the will and makes us rather bear those ills we have than fly to others that we know not of thus conscience does make cowards of us all and thus the native hue of resolution is sicklied o er with the pale cast of thought and enterprises of great pith and moment with this regard their currents turn awry and lose the name of action soft you now the fair ophelia nymph in thy orisons be all my sins rememb red oph good my lord how does your honour for this many a day ham i humbly thank you well well well oph my lord i have remembrances of yours that i have longed long to re deliver,0
175,1511,Praise of Folly,just as nothing is more foolish than misplaced wisdom so too nothing is more imprudent than perverse prudence and surely it is perverse not to adapt yourself to the prevailing circumstances to refuse to do as the romans do to ignore the party goer s maxium take a drink or take your leave to insist that the play should not be a play true prudence on the other hand recognizes human limitations and does not strive to leap beyond them it is willing to run with the herd to overlook faults tolerantly or to share them in a friendly spirit but they say that is exactly what we mean by folly i will hardly deny it as long as they will reciprocate by admitting that this is exactly what is means to perform the play of life,0
238,1611,the tempest,why as i told thee tis a custom with him i th afternoon to sleep there thou mayst brain him having first seized his books or with a log batter his skull or paunch him with a stake or cut his wezand with thy knife remember first to possess his books for without them he s but a sot as i am nor hath not one spirit to command they all do hate him as rootedly as i burn but his books he has brave utensils for so he calls them which when he has a house he ll deck withal and that most deeply to consider is the beauty of his daughter he himself calls her a nonpareil i never saw a woman but only sycorax my dam and she but she as far surpasseth sycorax,0
29,1665,"['POETICALWORKS', 'OF', 'JOHNDRYDEN.', 'WithLife,CriticalDissertation,andExplanatoryNotes,', 'BYTHE', 'REV.GEORGEGILFILLAN.', 'VOL.II.', 'M.DCCC.LV.', 'CRITICALESTIMATE', 'OFTHE', 'GENIUSANDPOETICALWORKSOFJOHNDRYDEN.', 'InourLifeofDrydenwepromisedtosaysomethingaboutthequestion']",wondrous elasticity and ease of movement there is never for an instant any real or apparent effort any straining for effect any of that double double toil and trouble by which many even of the weird cauldrons in which genius forms her creations are disturbed and bedimmed that power of doing everything with perfect and conscious ease which dugald stewart has ascribed to barrow and to horsley in prose distinguished dryden in poetry whether he discusses the deep questions of fate and foreknowledge in religio laici or lashes shaftesbury in the medal or pours a torrent of contempt on shadwell in macflecknoe or describes the fire of london in the annus mirabilis or soars into lyric enthusiasm in his ode on the death of mrs killigrew and alexander s feast or paints a tournament in palamon and arcite or a fairy dance in the flower and the leaf he is always at home and always aware that he is his consciousness of his own powers amounts to exultation he is like the steed who glories in that tremendous gallop which affects the spectator with fear indeed we never can separate our conception of dryden s vigorous and vaulting style from the image of a noble horse devouring the dust of the field clearing obstacles at a bound taking up long leagues as a little thing and the very strength and speed of whose motion give it at a distance the appearance of smoothness pope speaks of his long resounding march and energy divine perhaps ease divine had been words more characteristic of that almost superhuman power of language by which he makes the most obstinate materials pliant melts down difficulties as if by the touch of magic and to resume the former figure comes into the goal without a hair turned on his mane or a single sweat drop confessing effort or extraordinary exertion we know no poet since homer who can be compared to dryden in this respect except scott who occasionally in marmion and the lay of the last minstrel exhibits the same impetuous ease and fiery fluent movement scott does not however in general carry the same weight as the other and the species of verse he uses in comparison to the heroic rhyme of dryden gives you often the impression of a hard trot rather than of a long resounding and magnificent gallop scott exhibits in his poetry the soul of a warrior but it is of a warrior of the border somewhat savage and coarse dryden can for the nonce at least assume the appearance and display the spirit of a knight of ancient chivalry gallant accomplished elegant and gay next to this poet s astonishing ease spirit and elastic vigour may be ranked his clear sharp intellect he may be called more a logician than a poet he reasons often and always acutely and his rhyme instead of shackling strengthens the movement of his argumentation parts of his religio laici and the hind and panther resemble portions of duns scotus or aquinas set on fire indeed keen strong intellect inflamed with passion and inspirited by that ardour and impetuosity of mind which wordsworth is compelled to allow to him rather than creative or original genius is the differentia of dryden we have compared him to a courser but he was not one of those coursers of achilles who fed on no earthly food but on the golden barley of heaven having sprung from the gods greek xanthon kai balion to ama pnoiaesi petesthaen tous eteke zephuro anemo arpua podargae dryden resembled rather the mortal steed which was yoked with these immortal twain the brood of zephyr and the harpy podarga only we can hardly say of the poet what homer says of pedasus greek os kai thnaetos eon epeth ippois athanatoisi he was not although a mortal able to keep up with the immortal coursers his path was on the plains or table lands of earth never or seldom in cloudland gorgeous land or through the aerial altitudes which stretch away and above the clouds to the gates of heaven he can hardly be said to have possessed the power of sublimity in the high sense of that term as the power of sympathising with the feeling of the infinite often he gives us the impression of the picturesque of the beautiful of the heroic of the nobly disdainful but never when writing at least entirely from his own mind of that infinite and nameless grandeur which the imaginative soul feels shed on it from the multitudinous waves of ocean from the cataract leaping from his rock as if to consummate an act of prayer to god from the hum of great assemblies of men from the sight of far extended wastes and wildernesses and from the awful silence and the still more mysterious sparkle of the midnight stars this sense of the presence of the shadow of immensity immensity itself cannot be felt any more than measured this sight like that vouchsafed to moses of the backparts of the divine the divine itself cannot be seen has been the inspiration of all the highest poetry of the world of the paradise lost of the divina commedia of the night thoughts of wordsworth and coleridge of festus and highest far of the hebrew prophets as they cry whither can we go from thy presence whither can we flee from thy spirit such poets have resembled a blind man who feels although he cannot see that a stranger of commanding air is in the room beside him so they stand awe struck in the wind of the going of a majestic and unseen being this feeling differs from mysticism inasmuch as it is connected with a reality while the mystic dreams a vague and unsupported dream and the poetry it produces is simply the irresistible cry springing from the perception of this wondrous some one who is actually near them the feeling is connected in general with a lofty moral and religious nature and yet not always since while wanting in dryden we find it intensely discovered although in an imperfect and perverted shape in by,0
197,1600,A midsummer nights drea,overs and madmen have such seething brains such shaping fantasies that apprehend more than cool reason ever comprehends the lunatic the lover and the poet are of imagination all compact one sees more devils than vast hell can hold that is the madman the lover all as frantic sees helen s beauty in a brow of egypt the poet s eye in fine frenzy rolling doth glance from heaven to earth from earth to heaven and as imagination bodies forth the forms of things unknown the poet s pen turns them to shapes and gives to airy nothing a local habitation and a nam,0
137,1667,paradise lost,farewel happy fields where joy for ever dwells hail horrours hail infernal world and thou profoundest hell receive thy new possessor one who brings a mind not to be chang d by place or time the mind is its own place and in it self can make a heav n of hell a hell of heav n what matter where if i be still the same and what i should be all but less then he whom thunder hath made greater here at least we shall be free th almighty hath not built here for his envy will not drive us hence here we may reign secure and in my choyce to reign is worth ambition though in hell better to reign in hell then serve in heav n,0
134,1590,the faerie queen ,who travels by the wearie wandring way to come unto his wished home in haste and meetes a flood that doth his passage stay is not great grace to helpe him over past or free his feet that in the myre sticke fast most envious man that grieves at neighbours good and fond that joyest in the woe thou hast why wilt not let him passe that long hath stood upon the banke yet wilt thy selfe not passe the flood,0
197,1600,A midsummer nights drea,overs and madmen have such seething brains such shaping fantasies that apprehend more than cool reason ever comprehends the lunatic the lover and the poet are of imagination all compact one sees more devils than vast hell can hold that is the madman the lover all as frantic sees helen s beauty in a brow of egypt the poet s eye in fine frenzy rolling doth glance from heaven to earth from earth to heaven and as imagination bodies forth the forms of things unknown the poet s pen turns them to shapes and gives to airy nothing a local habitation and a nam,0
232,1601,twelfth night,a blank my lord she never told her love but let concealment like a worm i the bud feed on her damask cheek she pined in thought and with a green and yellow melancholy she sat like patience on a monument smiling at grief was not this love indeed we men may say more swear more but indeed our shows are more than will for still we prove much in our vows but little in our love,0
133,1590,The faeire queen,what franticke fit quoth he hath thus distraught thee foolish man so rash a doome to give what justice ever other judgement taught but he should die who merites not to live none else to death this man despayring drive but his owne guiltie mind deserving death is then unjust to each his due to give or let him die that loatheth living breath or let him die at ease that liveth here uneath,0
241,1603,Hamlet,tis a consummation devoutly to be wish d to die to sleep to sleep perchance to dream ay there s the rub for in that sleep of death what dreams may come when we have shuffled off this mortal coil must give us pause there s the respect that makes calamity of so long life for who would bear the whips and scorns of time th oppressor s wrong the proud man s contumely the pangs of despis d love the law s delay the insolence of office and the spurns that patient merit of th unworthy takes when he himself might his quietus make with a bare bodkin who would these fardels bear to grunt and sweat under a weary life but that the dread of something after death the undiscover d country from whose bourn no traveller returns puzzles the will and makes us rather bear those ills we have than fly to others that we know not of thus conscience does make cowards of us all and thus the native hue of resolution is sicklied o er with the pale cast of thought and enterprises of great pith and moment with this regard their currents turn awry and lose the name of action soft you now the fair ophelia nymph in thy orisons be all my sins rememb red oph good my lord how does your honour for this many a day ham i humbly thank you well well well oph my lord i have remembrances of yours that i have longed long to re deliver,0
137,1667,paradise lost,farewel happy fields where joy for ever dwells hail horrours hail infernal world and thou profoundest hell receive thy new possessor one who brings a mind not to be chang d by place or time the mind is its own place and in it self can make a heav n of hell a hell of heav n what matter where if i be still the same and what i should be all but less then he whom thunder hath made greater here at least we shall be free th almighty hath not built here for his envy will not drive us hence here we may reign secure and in my choyce to reign is worth ambition though in hell better to reign in hell then serve in heav n,0
136,1667,paradise lost,how can i live without thee how forego thy sweet converse and love so dearly joined to live again in these wild woods forlorn should god create another eve and i another rib afford yet loss of thee would never from my heart no no i feel the link of nature draw me flesh of flesh bone of my bone thou art and from thy state mine never shall be parted bliss or woe however i with thee have fixed my lot certain to undergo like doom if death consort with thee death is to me as life so forcible within my heart i feel the bond of nature draw me to my own my own in thee for what thou art is mine our state cannot be severed we are one one flesh to lose thee were to lose myself,0
291,1669,The Wild Gallant,isa your mind s ever upon your belly trice no tis sometimes upon yours but what say st thou to sir timorous little constance const would you have me married to that king midas s face trice midas me no midas he s a wit he understands eating and drinking well poeta coquus the heathen philosopher could tell you that const come on sir what s your will with me laughs tim why madam i could only wish we were a little better acquainted that we might not laugh at one another so const if the fool puts forward i am undone tim fool do you know me madam const you may see i know you because i call you by your name fail you must endure these rebukes with patience sir timorous,0
194,1591,The Archidoxes of Magic,nd every fair from fair sometimes declines by chance or natures changing course untrimm d by thy eternal summer shall not fade nor lose possession of that fair thou owest nor shall death brag thou wander st in his shade when in eternal lines to time thou growest so long as men can breathe or eyes ca,0
240,1603,Hamlet,not where he eats but where he is eaten a certain convocation of politic worms are e en at him your worm is your only emperor for diet we fat all creatures else to fat us and we fat ourselves for maggots your fat king and your lean beggar is but variable service two dishes but to one table that s the end,0
197,1600,A midsummer nights drea,overs and madmen have such seething brains such shaping fantasies that apprehend more than cool reason ever comprehends the lunatic the lover and the poet are of imagination all compact one sees more devils than vast hell can hold that is the madman the lover all as frantic sees helen s beauty in a brow of egypt the poet s eye in fine frenzy rolling doth glance from heaven to earth from earth to heaven and as imagination bodies forth the forms of things unknown the poet s pen turns them to shapes and gives to airy nothing a local habitation and a nam,0
238,1611,the tempest,why as i told thee tis a custom with him i th afternoon to sleep there thou mayst brain him having first seized his books or with a log batter his skull or paunch him with a stake or cut his wezand with thy knife remember first to possess his books for without them he s but a sot as i am nor hath not one spirit to command they all do hate him as rootedly as i burn but his books he has brave utensils for so he calls them which when he has a house he ll deck withal and that most deeply to consider is the beauty of his daughter he himself calls her a nonpareil i never saw a woman but only sycorax my dam and she but she as far surpasseth sycorax,0
29,1665,"['POETICALWORKS', 'OF', 'JOHNDRYDEN.', 'WithLife,CriticalDissertation,andExplanatoryNotes,', 'BYTHE', 'REV.GEORGEGILFILLAN.', 'VOL.II.', 'M.DCCC.LV.', 'CRITICALESTIMATE', 'OFTHE', 'GENIUSANDPOETICALWORKSOFJOHNDRYDEN.', 'InourLifeofDrydenwepromisedtosaysomethingaboutthequestion']",wondrous elasticity and ease of movement there is never for an instant any real or apparent effort any straining for effect any of that double double toil and trouble by which many even of the weird cauldrons in which genius forms her creations are disturbed and bedimmed that power of doing everything with perfect and conscious ease which dugald stewart has ascribed to barrow and to horsley in prose distinguished dryden in poetry whether he discusses the deep questions of fate and foreknowledge in religio laici or lashes shaftesbury in the medal or pours a torrent of contempt on shadwell in macflecknoe or describes the fire of london in the annus mirabilis or soars into lyric enthusiasm in his ode on the death of mrs killigrew and alexander s feast or paints a tournament in palamon and arcite or a fairy dance in the flower and the leaf he is always at home and always aware that he is his consciousness of his own powers amounts to exultation he is like the steed who glories in that tremendous gallop which affects the spectator with fear indeed we never can separate our conception of dryden s vigorous and vaulting style from the image of a noble horse devouring the dust of the field clearing obstacles at a bound taking up long leagues as a little thing and the very strength and speed of whose motion give it at a distance the appearance of smoothness pope speaks of his long resounding march and energy divine perhaps ease divine had been words more characteristic of that almost superhuman power of language by which he makes the most obstinate materials pliant melts down difficulties as if by the touch of magic and to resume the former figure comes into the goal without a hair turned on his mane or a single sweat drop confessing effort or extraordinary exertion we know no poet since homer who can be compared to dryden in this respect except scott who occasionally in marmion and the lay of the last minstrel exhibits the same impetuous ease and fiery fluent movement scott does not however in general carry the same weight as the other and the species of verse he uses in comparison to the heroic rhyme of dryden gives you often the impression of a hard trot rather than of a long resounding and magnificent gallop scott exhibits in his poetry the soul of a warrior but it is of a warrior of the border somewhat savage and coarse dryden can for the nonce at least assume the appearance and display the spirit of a knight of ancient chivalry gallant accomplished elegant and gay next to this poet s astonishing ease spirit and elastic vigour may be ranked his clear sharp intellect he may be called more a logician than a poet he reasons often and always acutely and his rhyme instead of shackling strengthens the movement of his argumentation parts of his religio laici and the hind and panther resemble portions of duns scotus or aquinas set on fire indeed keen strong intellect inflamed with passion and inspirited by that ardour and impetuosity of mind which wordsworth is compelled to allow to him rather than creative or original genius is the differentia of dryden we have compared him to a courser but he was not one of those coursers of achilles who fed on no earthly food but on the golden barley of heaven having sprung from the gods greek xanthon kai balion to ama pnoiaesi petesthaen tous eteke zephuro anemo arpua podargae dryden resembled rather the mortal steed which was yoked with these immortal twain the brood of zephyr and the harpy podarga only we can hardly say of the poet what homer says of pedasus greek os kai thnaetos eon epeth ippois athanatoisi he was not although a mortal able to keep up with the immortal coursers his path was on the plains or table lands of earth never or seldom in cloudland gorgeous land or through the aerial altitudes which stretch away and above the clouds to the gates of heaven he can hardly be said to have possessed the power of sublimity in the high sense of that term as the power of sympathising with the feeling of the infinite often he gives us the impression of the picturesque of the beautiful of the heroic of the nobly disdainful but never when writing at least entirely from his own mind of that infinite and nameless grandeur which the imaginative soul feels shed on it from the multitudinous waves of ocean from the cataract leaping from his rock as if to consummate an act of prayer to god from the hum of great assemblies of men from the sight of far extended wastes and wildernesses and from the awful silence and the still more mysterious sparkle of the midnight stars this sense of the presence of the shadow of immensity immensity itself cannot be felt any more than measured this sight like that vouchsafed to moses of the backparts of the divine the divine itself cannot be seen has been the inspiration of all the highest poetry of the world of the paradise lost of the divina commedia of the night thoughts of wordsworth and coleridge of festus and highest far of the hebrew prophets as they cry whither can we go from thy presence whither can we flee from thy spirit such poets have resembled a blind man who feels although he cannot see that a stranger of commanding air is in the room beside him so they stand awe struck in the wind of the going of a majestic and unseen being this feeling differs from mysticism inasmuch as it is connected with a reality while the mystic dreams a vague and unsupported dream and the poetry it produces is simply the irresistible cry springing from the perception of this wondrous some one who is actually near them the feeling is connected in general with a lofty moral and religious nature and yet not always since while wanting in dryden we find it intensely discovered although in an imperfect and perverted shape in by,0
117,1603,hamlet,he oppressor s wrong the proud man s contumely the pangs of despised love the law s delay the insolence of office and the spurns that patient merit of the unworthy takes when he himself might his quietus make with a bare bodkin who would fardels bear to grunt and sweat under a weary life but that the dread of something after death the undiscover d country from whose bourn no traveller returns puzzles the will and makes us rather bear those ills we have than fly to others that we know not of thus conscience does make cowards of us all and thus the native hue of resolution is sicklied o er with the pale cast of thought and enterprises of great pith and moment with this regard their currents turn awry and lose the name of action soft you now the fair ophelia nymph in thy orisons be all my sins remember,0
226,1667,"['EDINBURGH', 'PRINTEDBYBALLANTYNEANDCOMPANY,', ""PAUL'SWORK."", 'THEPOETICALWORKS', 'OFJOHNDRYDEN.', 'WithLife,CriticalDissertation,and', 'ExplanatoryNotes', 'BYTHE', 'REV.GEORGEGILFILLAN.', 'VOL.I.', 'M.DCCC.LV.', 'THELIFEOFJOHNDRYDEN.', 'JohnDrydenwasbornonthe9th']",clearly those great qualities of sagacity determination courage statesmanship insight and genuine godliness which made him next to alfred the great the first monarch who ever sat on the english throne two years after dryden came to london cromwell expired and the poet wrote and published his heroic stanzas on the hero s death which we consider really his earliest poem when richard resigned dryden in common with the majority of the nation saw that the roundhead cause was lost and hastened to carry over his talents to the gaining side for this we do not blame him very severely although it certainly had been nobler if like milton he had clung to his party sir walter scott remarks that dryden never retracted the praise he gave to cromwell in absalom and achitophel he sneers at richard as ishbosheth but says nothing against the deceased giant saul it is clear too that at first his desertion of the cromwell party was a loss to the poet he lost the chance of their favour in case a reaction should come his situation as secretary and the shelter of pickering s princely mansion as might have been expected his ancient friends were indignant at the change and not less so at the alteration he thought proper at the same time to make in the spelling of his name from driden to dryden he went to reside in the obscure house of one herringman a bookseller in the new exchange and became for life a professional author his enemies afterwards reproached him bitterly for his mean circumstances at this period of his life and asserted that he was a mere drudge to herringman he at all events did little in his own proper poetic calling for two years a poem on the coronation of charles well fitted to wipe away the stain of cromwellism and to attract upon the poet the eye of that rising sun whose glory he sang with more zeal than truth a panegyric on the lord chancellor and a satire on the dutch were all and are all short and all savour of a vein somewhat hide bound he planned indeed too and partly wrote one or more plays and was considered of consequence enough to be elected a member of the royal society in previous to this he had been introduced through herringman to sir robert howard son of the first earl of berkshire and a relation of edward howard the author of british princes and the object of the witty wrath of butler sir robert too had a poetical propensity and dryden and he became and continued intimate for a number of years the poet assisting the knight in his literary compositions particularly in a play entitled the indian queen and the latter inviting the former to the family seat at charlton where dryden met in an unlucky hour his future wife lady elizabeth howard the sister of sir robert it was on the st of december in st swithin s london and with the consent of the earl who settled about a year on his daughter that this unhappy union took place the lady seems to have had absolutely none of the qualities which tend either to command a husband s respect or to conciliate his regard but is described as a woman of violent temper and weak understanding much of the bitterness of dryden s satire some of the coarse licentiousness of his plays and all the sarcasms at matrimony which he has scattered in multitudes throughout his works may be traced to his domestic unhappiness otherwise the match had some advantages it broke up for a time at least some licentious connexions he had formed particularly after a time one with mrs reeves the actress with whom having laid aside his norwich drugget he used to eat tarts at the mulberry gardens with a sword and a chadreux wig it secured to him including his own property an income of about a year a sum equal to now and which on the death of his mother three years later was increased by more or at the present value of money he was thus protected for life against the meaner and more miserable necessities of the literary man under which many of his unfortunate rivals were crushed and if he could not always command luxuries he was always sure of bread to improve his circumstances however and to enable him to keep up a style of living in unison with his lady s rank he must write and the question arose what mode of composition was likely to be the most lucrative were he to continue to indite panegyrical verses like those to clarendon he stood a chance of having a few guineas tossed to him now and then by a patron like a crust to an unfortunate cur were he to translate or write prefaces for the booksellers he might pay his bill for salt if diligent enough for satires as yet there was little demand the follies of the more fanatical of the puritans were too recent although they were beginning to ripen for the hand of butler and the far grosser absurdities of the cavaliers were yet in blossom there remained nothing for an aspiring author but the stage which during the previous regime had been abolished while the french revolution was in progress ay even in the depths of the reign of terror the theatres were all open and all crowded but when cromwell was enacting his solemn and solitary part before god angels and men the petty potentates the gods and goddesses of the stage vanished into thin air at his tremendous stamp their cue had been exeunt omnes and if the spirit of shakspeare himself had witnessed the departure he would have added his amen and had he watched in their stead the gigantic actor treading his trembling stage alone with all the world looking on he might have remembered and re applied his own magnificent words o for a muse of fire that would ascend the brightest heaven of invention a kingdom for a stage princes to act and monarchs to behold the swelling scene then should the warlike cromwell like himself assume the port of mars and at his,0
235,1623,King JOhn,es that i will and wherefore will i do it i tore them from their bonds and cried aloud o that these hands could so redeem my son as they have given these hairs their liberty but now i envy at their liberty and will again commit them to their bonds because my poor child is a prisoner and father cardinal i have heard you say that we shall see and know our friends in heaven if that be true i shall see my boy again for since the birth of cain the first male child to him that did but yesterday suspire there was not such a gracious creature born but now will canker sorrow eat my bud and chase the native beauty from his cheek and he will look as hollow as a ghost as dim and meagre as an ague s fit and so he ll die and rising so again when i shall meet him in the court of heaven i shall not know him therefore never never must i behold my pretty arthur more,0
122,1622,othello,ad it pleased heaven to try me with affliction had they rain d all kinds of sores and shames on my bare head steep d me in poverty to the very lips given to captivity me and my utmost hopes i should have found in some place of my soul a drop of patience but alas to make me a fixed figure for the time of scorn to point his slow unmoving finger at yet could i bear that too well very well but there where i have garner d up my heart where either i must live or bear no life the fountain from the which my current runs or else dries up to be discarded thence or keep it as a cistern for foul toads to knot and gender in turn thy complexion there patience thou young and rose lipp d cherubin ay there look grim as hell,0
