text,info,date
"I will love you forever; whatever happens. Till I die and after I die, and when I find my way out of the land of the dead, I’ll drift about forever, all my atoms, till I find you again… I’ll be looking for you, every moment, every single moment. And when we do find each other again, we’ll cling together so tight that nothing and no one’ll ever tear us apart. Every atom of me and every atom of you… We’ll live in birds and flowers and dragonflies and pine trees and in clouds and in those little specks of light you see floating in sunbeams… And when they use our atoms to make new lives, they won’t just be able to take one, they’ll have to take two, one of you and one of me, we’ll be joined so tight…",the amber spyglass,2000
"Thanks to ten minutes or so of balmy weather, by 10:24 the Earth is covered in the great carboniferous forests whose residues give us all our coal, and the first winged insects are evident. Dinosaurs plod onto the scene just before 11 P.M. and hold sway for about three-quarters of an hour. At twenty-one minutes to midnight they vanish and the age of mammals begins. Humans emerge one minute and seventeen seconds before midnight. The whole of our recorded history, on this scale, would be no more than a few seconds, a single human lifetime barely an instant. Throughout this greatly speeded-up day continents slide about and bang together at a clip that seems positively reckless. Mountains rise and melt away, ocean basins come and go, ice sheets advance and withdraw. And throughout the whole, about three times every minute, somewhere on the planet there is a flash-bulb pop of light marking the impact of a Manson-sized meteor or one even larger. It's a wonder that anything at all can survive in such a pummeled and unsettled environment. In fact, not many things do for long",a sorty history,2003
"Me, and thousands of others in this country like me, are half-baked, because we were never allowed to complete our schooling. Open our skulls, look in with a penlight, and you'll find an odd museum of ideas: sentences of history or mathematics remembered from school textbooks (no boy remembers his schooling like the one who was taken out of school, let me assure you), sentences about politics read in a newspaper while waiting for someone to come to an office, triangles and pyramids seen on the torn pages of the old geometry textbooks which every tea shop in this country uses to wrap its snacks in, bits of All India Radio news bulletins, things that drop into your mind, like lizards from the ceiling, in the half hour before falling asleep--all these ideas, half formed and half digested and half correct, mix up with other half-cooked ideas in your head, and I guess these half-formed ideas bugger one another, and make more half-formed ideas, and this is what you act on and live with.",the white tiger,2008
"Belief, like fear or love, is a force to be understood as we understand the theory of relativity and principals of uncertainty. Phenomena that determine the course of our lives. Yesterday, my life was headed in one direction. Today, it is headed in another. Yesterday, I believe I would never have done what I did today. These forces that often remake time and space, that can shape and alter who we imagine ourselves to be, begin long before we are born and continue after we perish. Our lives and our choices, like quantum trajectories, are understood moment to moment. That each point of intersection, each encounter, suggest a new potential direction. Proposition, I have fallen in love with Luisa Rey. Is this possible? I just met her and yet, I feel like something important has happened to me.",cloud atlas,2004
"Let us remind ourselves of the terminology. A theist believes in a supernatural intelligence who, in addition to his main work of creating the universe in the first place, is still around to oversee and influence the subsequent fate of his initial creation. In many theistic belief systems, the deity is intimately involved in human affairs. He answers prayers; forgives or punishes sins; intervenes in the world by performing miracles; frets about good and bad deeds, and knows when we do them (or even think about doing them). A deist, too, believes in a supernatural intelligence, but one whose activities were confined to setting up the laws that govern the universe in the first place. The deist God never intervenes thereafter, and certainly has no specific interest in human affairs. Pantheists don't believe in a supernatural God at all, but use the word God as a non-supernatural synonym for Nature, or for the Universe, or for the lawfulness that governs its workings. Deists differ from theists in that their God does not answer prayers, is not interested in sins or confessions, does not read our thoughts and does not intervene with capricious miracles. Deists differ from pantheists in that the deist God is some kind of cosmic intelligence, rather than the pantheist's metaphoric or poetic synonym for the laws of the universe. Pantheism is sexed-up atheism. Deism is watered-down theism.",the god delision,2006
"Lily appeared, wearing her nightclothes, in the doorway. She gave an impatient sigh. 'This is certainly a very LONG private conversation,' she said. 'And there are certain people waiting for their comfort object.' Lily,' her mother said fondly, 'you're very close to being an Eight, and when you're an Eight, your comfort object will be taken away. It will be recycled to the younger children. You should be starting to go off to sleep without it.' But her father had already gone to the shelf and taken down the stuffed elephant which was kept there. Many of the comfort objects, like Lily's, were soft, stuffed, imaginary creatures. Jonas's had been called a bear. Here you are, Lily-billy,' he said. 'I'll come help you remove your hair ribbons.",the giver,1993
"To the eyes of the American soldiers who drove past, I looked no different from the women around me; and as I thought of it, who could say I was any different? If you no longer have leaves, or bark, or roots, can you go on calling yourself a tree? ""I am a peasant,"" I said to myself, ""and not a geisha at all any longer."" It was a frightening feeling to look at my hands and see their roughness. To draw my mind away from my fears, I turned my attention again to the truckloads of soldiers driving past. Weren't these the very American soldiers we'd been taught to hate, who had bombed our cities with such horrifying weapons? Now they rode through our neighborhood, throwing pieces of candy to the children.",memoirsa of a geisha,1997
"You are so young, Lyra, too young to understand this, but I shall tell you anyway and you'll understand it later: men pass in front of our eyes like butterflies, creatures of a brief season. We love them; they are brave, proud, beautiful, clever; and they die almost at once. They die so soon that our hearts are continually racked with pain. We bear their children, who are witches if they are female, human if not; and then in the blink of an eye they are gone, felled, slain, lost. Our sons, too. When a little boy is growing, he thinks he is immortal. His mother knows he isn't. Each time becomes more painful, until finally your heart is broken. Perhaps that is when Yambe-Akka comes for you. She is older than the tundra. Perhaps, for her, witches' lives are as brief as men's are to us.",the golden compass,1995
"But his kind will always lose in the end. I know this, and now I know why. Whether it's wife or nation they occupy, their mistake is the same: they stand still, and their stake moves underneath them.... Chains rattle, rivers roll, animals startle and bolt, forests inspire and expand, babies stretch open-mouthed from the womb, new seedlings arch their necks and creep forward into the light. Even a language won't stand still. A territory is only possessed for a moment in time. They stake everything on that moment, posing for photographs while planting the flag, casting themselves in bronze.... Even before the flagpole begins to peel and splinter, the ground underneath arches and slides forward into its own new destiny. It may bear the marks of boots on its back, but those marks become the possessions of the land.",the poison wood bible,1998
"It's much easier to not know things sometimes. Things change and friends leave. And life doesn't stop for anybody. I wanted to laugh. Or maybe get mad. Or maybe shrug at how strange everybody was, especially me. I think the idea is that every person has to live for his or her own life and than make the choice to share it with other people. You can't just sit their and put everybody's lives ahead of yours and think that counts as love. You just can't. You have to do things. I'm going to do what I want to do. I'm going to be who I really am. And I'm going to figure out what that is. And we could all sit around and wonder and feel bad about each other and blame a lot of people for what they did or didn't do or what they didn't know. I don't know. I guess there could always be someone to blame. It's just different. Maybe it's good to put things in perspective, but sometimes, I think that the only perspective is to really be there. Because it's okay to feel things. I was really there. And that was enough to make me feel infinite. I feel infinite.",the perks of being a wallflower,1999
"He brought his tray to the table. Behind him, a boy from one of the other tents said, “Hey, what happened to your face?” There was a crash. Stanley turned to see Mr. Sir holding the boy’s head against the oatmeal pot. “Is something wrong with my face?” The boy tried to speak but couldn’t. Mr. Sir had him by the throat. “Does anyone see anything wrong with my face?” asked Mr. Sir, as he continued to choke the boy. Nobody said anything. Mr. Sir let the boy go. His head banged against the table as he fell to the ground. Mr. Sir stood over him and asked, “How does my face look to you now?” A gurgling sound came out of the boy’s mouth, then he managed to gasp the word, “Fine.” “I’m kind of handsome, don’t you think?” “Yes, Mr. Sir.” Out",holes,1998
"Anytime Jesus got hungry all He had to do was go up the road to a fig tree or an orange tree and have His fill. If He wanted a pint He could wave His hand over a big glass and there was the pint. Or He could visit Mary Magdalene and her sister, Martha, and they'd give Him His dinner no questions asked and He'd get his feet washed and dried with Mary Magdalene's hair while Martha washed the dishes, which I don't think is fair. Why should she have to wash the dishes while her sister sits out there chatting away with Our Lord? It's a good thing Jesus decided to be born Jewish in that warm place because if he was born in Limerick he'd catch the consumption and be dead in a month and there wouldn't be any Catholic Church and there wouldn't be any Communion or Confirmation and we wouldn't have to learn the catechism and write compositions about Him.",angelas ashes,1996
"You have a class of young strong men and women, and they want to give their lives to something. Advertising has these people chasing cars and clothes they don't need. Generations have been working in jobs they hate, just so they can buy what they don't really need. We don't have a great war in our generation, or a great depression, but we do, we have a great war of the spirit. We have a great revolution against the culture. The great depression is our lives. We have a spiritual depression",fight club,1996
"I had not yet been down to the cellar where I was to sleep. I took a candle with me but was too tired to look around beyond finding a bed, pillow and blanket. Leaving the trap door of the cellar open so that cool, fresh air could reach me, I took off my shoes, cap, apron and dress, prayed briefly, and lay down. I was about to blow out the candle when I noticed the painting hanging at the foot of my bed. I sat up, wide awake now. It was another picture of Christ on the Cross, smaller than the one upstairs but even more disturbing. Christ had thrown his head back in pain, and Mary Magdalene’s eyes were rolling. I Iay back gingerly, unable to take my eyes off it. I could not imagine sleeping in the room with the painting. I wanted to take it down but did not dare. Finally I blew out the candle—I could not afford to waste candles on my first day in the new house. I lay back again, my eyes fixed to the place where I knew the painting hung. I slept badly that night, tired as I was. I woke often and looked for the painting. Though I could see nothing on the wall, every detail was fixed in my mind. Finally, when it was beginning to grow light, the painting appeared again and I was sure the Virgin Mary was looking down at me.",girl with a pearl earring,1999
"Being a woman is worse than being a farmer there is so much harvesting and crop spraying to be done: legs to be waxed, underarms shaved, eyebrows plucked, feet pumiced, skin exfoliated and moisturised, spots cleansed, roots dyed, eyelashes tinted, nails filed, cellulite massaged, stomach muscles exercised. The whole performance is so highly tuned you only need to neglect it for a few days for the whole thing to go to seed. Sometimes I wonder what I would be like if left to revert to nature — with a full beard and handlebar moustache on each shin Dennis Healey eyebrows face a graveyard of dead skin cells spots erupting long curly fingernails like Struwelpeter blind as bat and stupid runt of species as no contact lenses flabby body flobbering around. Ugh ugh. Is it any wonder girl",bridget jones diary,1996
"ery Greek idea, and a very profound one. Beauty is terror. Whatever we call beautiful, we quiver before it. And what could be more terrifying and beautiful, to souls like the Greeks or our own, than to lose control completely? To throw off the chains of being for an instant, to shatter the accident of our mortal selves? Euripides speaks of the Maenads: head thrown I back, throat to the stars, ""more like deer than human being."" To be absolutely free! One is quite capable, of course, of working out these destructive passions in more vulgar and less efficient ways. But how glorious to release them in a single burst! To sing, to scream, to dance barefoot in the woods in the dead of night, with no more awareness of mortality than an animal! These are powerful mysteries. The bellowing of bulls. Springs of honey bubbling from the ground. If we are strong enough in our souls we can rip away the veil and look that naked, terrible beauty right in the face; let God consume us, devour us, unstring our bones. Then spit us out reborn",the secret history,1992
"But now science is the belief system that is hundreds of years old. And, like the medieval system before it, science is starting not to fit the world any more. Science has attained so much power that its practical limits begin to be apparent. Largely through science, billions of us live in one small world, densely packed and intercommunicating. But science cannot help us decide what to do with that world, or how to live. Science can make a nuclear reactor, but it cannot tell us not to build it. Science can make pesticide, but cannot tell us not to use it. And our world starts to seem polluted in fundamental ways---air, and water, and land---because of ungovernable science",jurassic park,1990
"Mormont gave a whistle, and the bird flew to him again and settled on his arm. “A lord’s one thing, a king’s another. They will garb your brother Robb in silks, satins, and velvets of a hundred different colors, while you live and die in black ringmail. He will wed some beautiful princess and father sons on her. You’ll have no wife, nor will you ever hold a child of your own blood in your arms. Robb will rule, you will serve. Men will call you a crow. Him they’ll call `Your Grace’. Singers will praise every little thing he does, while your greatest deeds all go unsung. Tell me that none of this troubles you, Jon… and I’ll name you a liar, and know I have the truth of it",a clash of kings,1998
"ways known that he would be around when the world ended, because he was immortal and wouldn’t have any alternative. But he hoped it was a long way off. Because he rather liked people. It was major failing in a demon. Oh, he did his best to make their short lives miserable, because that was his job, but nothing he could think up was half as bad as the stuff they thought up themselves. They seemed to have a talent for it. It was built into the design, somehow. They were born into a world that was against them in a thousand little ways, and then devoted most of their energies to making it worse. Over the years Crowley had found it increasingly difficult to find anything demonic to do which showed up against the natural background of generalized nastiness. There had been times, over the past millennium, when he’d felt like sending a message back Below saying, Look we may as well give up right now, we might as well shut down Dis and Pandemonium and everywhere and move up here, there’s nothing we can do to them that they don’t do to themselves and they do things we’ve never even thought of, often involving electrodes. They’ve g",good omens,1990
"w you must choose... Are you a child who has not yet become world-weary? Or are you a philosopher who will vow never to become so? To children, the world and everything in it is new, something that gives rise to astonishment. It is not like that for adults. Most adults accept the world as a matter of course. This is precisely where philosophers are a notable exception. A philosopher never gets quite used to the world. To him or her, the world continues to seem a bit unreasonable - bewildering, even enigmatic. Philosophers and small children thus have an important faculty in common. The only thing we require to be good philosophers is the faculty of won",sophies world,1991
"Here's the thing, say Shug. The thing I believe. God is inside you and inside everybody else. You come into the world with God. But only them that search for it inside find it. And sometimes it just manifest itself even if you not looking, or don't know what you looking for. Trouble do it for most folks, I think. Sorrow, lord. Feeling like shit. It? I ask. Yeah, It. God ain't a he or a she, but a It. But what do it look like? I ask. Don't look like nothing, she say. It ain't a picture show. It ain't something you can look at apart from anything else, including yourself. I believe God is everything, say Shug. Everything that is or ever was or ever will be. And when you cam feel that, and be happy to feel that, you've found it",the colour purple,1982
"Falling in love, we said; I fell for him. We were falling women. We believed in it, this downward motion: so lovely, like flying, and yet at the same time so dire, so extreme, so unlikely. God is love, they once said, but we reversed that, and love, like heaven, was always just around the corner. The more difficult it was to love the particular man beside us, the more we believed in Love, abstract and total. We were waiting, always, for the incarnation. That word, made flesh. And sometimes it happened, for a time. That kind of love comes and goes and is hard to remember afterwards, like pain. You would look at the man one day and you would think, I loved you, and the tense would be past, and you would be filled with a sense of wonder, because it was such an amazing and precarious and dumb thing to have done; and you would know too why your friends had been evasive about it, at the time",the hand maids tale,1985
"t's probably wrong to believe there can be any limit to the horror which the human mind can experience. On the contrary, it seems that some exponential effect begins to obtain as deeper and deeper darkness falls-as little as one may like to admit it, human experience tends, in a good many ways, to support the idea that when the nightmare grows black enough, horror spawns horror, one coincidental evil begets other, often more deliberate evils, until finally blackness seems to cover everything. And the most terrifying question of all may be just how much horror the human mind can stand and still maintain a wakeful, staring, unrelenting sanity. That such events have their own Rube Goldberg absurdity goes almost without saying. At some point, it all starts to become rather funny. That may be the point at which sanity begins either to save itself or to buckle and break down; that point at which one's sense of humor begins to reassert its",pet semeatary,1983
"In that face, deformed by hatred of philosophy, I saw for the first time the portrait of the Antichrist, who does not come from the tribe of Judas, as his heralds have it, or from a far country. The Antichrist can be born from piety itself, from excessive love of God or of the truth, as the heretic is born from the saint and the possessed from the seer. Fear prophets, Adso, and those prepared to die for the truth, for as a rule they make many others die with them, often before them, at times instead of them. Jorge did a diabolical thing because he loved his truth so lewdly that he dared anything in order to destroy falsehood",the name of the rose,1980
"One Kashmiri morning in the early spring of 1915, my grandfather Aadam Aziz hit his nose against a frost-hardened tussock of earth while attempting to pray. Three drops of blood plopped out of his left nostril, hardened instantly in the brittle air and lay before his eyes on the prayer-mat, transformed into rubies. Lurching back until he knelt with his head once more upright, he found that the tears which had sprung to his eyes had solidified, too; and at that moment, as he brushed diamonds contemptuously from his lashes, he resolved never again to kiss earth for any god or man. This decision, however, made a hole in him, a vacancy in a vital inner chamber, leaving him vulnerable to women and history. Unaware of this at first, despite his recently completed medical training, he stood up, rolled the prayer-mat into a thick cheroot, and holding it under his right arm surveyed the valley through clear, diamond-free eyes",midnights children,1981
"In this here place, we flesh; flesh that weeps, laughs; flesh that dances on bare feet in grass. Love it. Love it hard. Yonder they do not love your flesh. They despise it. They don't love your eyes; they'd just as soon pick em out. No more do they love the skin on your back. Yonder they flay it. And O my people they do not love your hands. Those they only use, tie, bind, chop off and leave empty. Love your hands! Love them. Raise them up and kiss them. Touch others with them, pat them together, stroke them on your face 'cause they don't love that either. You got to love it, you! And no, they ain't in love with your mouth. Yonder, out there, they will see it broken and break it again. What you say out of it they will not heed. What you scream from it they do not hear. What you put into it to nourish your body they will snatch away and give you leavins instead. No, they don't love your mouth. You got to love it. This is flesh I'm talking about here. Flesh that needs to be loved. Feet that need to rest and to dance; backs that need support; shoulders that need arms, strong arms I'm telling you. And O my people, out yonder, hear me, they do not love your neck unnoosed and straight. So love your neck; put a hand on it, grace it, stroke it and hold it up. and all your inside parts that they'd just as soon slop for hogs, you got to love them. The dark, dark liver--love it, love it and the beat and beating heart, love that too. More than eyes or feet. More than lungs that have yet to draw free air. More than your life-holding womb and your life-giving private parts, hear me now, love your heart. For this is the prize",beloved,1987
"he cried, 'No choice! No choice!' She doesn't know. If she doesn't speak, she is making a choice. If she doesn't try, she can lose her chance forever. I know this, because I was raised the Chinese way: I was taught to desire nothing, to swallow other people's misery, to eat my own bitterness. and even though I taught my daughter the opposite, she still came out the same way! Maybe it is because she was born to me and she was born a girl. And I was born to my mother and I was born a girl. All of us are like stairs, one step after another, going up and down, but all going the same way. I know how it is to be quiet, to listen and watch, as if your life were a dream. You can close your eyes when you no longer want to watch. But when you no longer want to listen, what can you do? I can still hear what happened more than sixty years ago",the joy luck club,1989
"he most important things are the hardest to say. They are the things you get ashamed of, because words diminish them -- words shrink things that seemed limitless when they were in your head to no more than living size when they're brought out. But it's more than that, isn't it? The most important things lie too close to wherever your secret heart is buried, like landmarks to a treasure your enemies would love to steal away. And you may make revelations that cost you dearly only to have people look at you in a funny way, not understanding what you've said at all, or why you thought it was so important that you almost cried while you were saying it. That's the worst, I think. When the secret stays locked within not for want of a teller but for want of an understanding ear",different seasons,1982
"his feet and for an instant he was suspended in the air and then he realized that he had died without Communion, without time to repent of anything or to say goodbye to anyone, at seven minutes after four on Pentecost Sunday. Fermina Daza was in the kitchen tasting the soup for supper when she heard Digna Pardo's horrified shriek and the shouting of the servants and then of the entire neighborhood. She dropped the tasting spoon and tried to run despite the invincible weight of her age, screaming like a madwoman without knowing yet what had happened under the mango leaves, and her heart jumped inside her ribs when she saw her man lying on his back in the mud, dead to this life but still resisting death's final blow for one last minute so that she would have time to come to him. He recognized her despite the uproar, through his tears of unrepeatable sorrow at dying without her, and he looked for her for the last and final time with eyes more luminous, more grief-stricken, more grateful that she had ever seen them in the half century of a shared life, and he managed to say to her with his last breath:",love in the time of cholera,1985
"That bird came from Africa. But you mustn't cry for that bird, Paulie, because after a while it forgot about how the veldt smelled at noonday, and the sounds of the wildebeests at the waterhole, and the high acidic smell of the ieka-ieka trees in the great clearing north of the Big road. After awhile it forgot the cerise color of the sun dying behind Kilimanjaro. After awhile it only knew the muddy, smogged-out sunsets of Boston, that was all it remembered and all it wanted to remember. After awhile it didn't want to go back anymore, and if someone took it back and set it free it would only crouch in one place, afraid and hurting and homesick in two unknown and terribly ineluctable directions until someth",misery,1987
"he family is the cradle of the world’s misinformation. There must be something in family life that generates factual error. Over-closeness, the noise and heat of being. Perhaps even something deeper like the need to survive. Murray says we are fragile creatures surrounded by a world of hostile facts. Facts threaten our happiness and security. The deeper we delve into things, the looser our structure may seem to become. The family process works towards sealing off the world. Small errors grow heads, fictions proliferate. I tell Murray that ignorance and confusion can’t possibly be the driving forces behind family solidarity. What an idea, what a subversion. He asks me why the strongest family units exist in the least developed societies. Not to know is a weapon of survival, he says. Magic and superstition become entrenched as the powerful orthodoxy of the clan. The family is strongest where objective reality is most likely to be misinterpreted. What a heartless theory, I say. But Murray insists it’s true",white noise,1985
"eauty in the European sense has always had a premeditated quality to it. We've always had an aesthetic intention and a long-range plan. That's what enabled western man to spend decades building a Gothic cathedral or a Renaissance piazza. The beauty of New York rests on a completely different base. It's unintentional. It arose independent of human designt, like a stalagmitic cavern. Forms which in themselves quite ugly turn up fortuitously, without design, in such incredible surroundings that they sparkle with with a sudden wondrous poetry...Sabina was very much attracted by the alien quality of New York's beauty. Fran found it intriguing but frightening; it made him feel homesick for Europe",the unbeaable lightness,1984
"ut she was good at the weather. The town consensus--among the older people, who cared about such things--was that Aunt Evvie was never wrong about three things: the week when the first hay-cutting would happen in the summertime, how good (or how bad) the blueberries would be, and what the weather would be like. One day early that June she shuffled out to the mailbox at the end of the driveway, leaning heavily on her Boston Post cane (which would go to Vin Marchant when the loudmouthed old bitch popped off, George Meara thought, and good riddance to you, Evvie) and smoking a Herbert Tareyton. She bellowed a greeting at Meara--her deafness had apparently convinced her that everyone else in the world had gone deaf in sympathy--and then shouted that they were going to have the hottest summer in thirty years. Hot early and hot late, Evvie bellowed leather-lunged into the drowsy eleven-o'clock quiet, and hot in the middle. ""That so?"" George asked. ""What?"" ""I said, 'Is that so?' "" That was the other thing about Aunt Evvie; she got you shouting right along with her. A man could pop a blood vessel. ""I should hope to smile and kiss a pig if it ain't!"" Aunt Evvie scre",cujo,1981
"he battery was an old Allstate, and the terminals were so glooped up with green corrosion that you couldn't tell which was positive and which was negative. I pulled the air cleaner and looked glumly into a four-barrel carb as black as a mineshaft. I lowered the hood and went back to where Arnie was sitting, running his hand along the edge of the dashboard over the speedometer, which was calibrated up to an utterly absurd 120 miles per hour. Had cars ever really gone that fast? ""Arnie, I think the engine block's cracked. I really do. This car is lunch, my friend. It's just total lunch. If you want wheels, we can find you something a lot better than this for two-fifty. I mean it. A lot better."" ""It's twenty years old,"" he said. ""Do you realize a car is officially an antique when it's twenty years old?"" ""Yeah,"" I said. ""The junkyard behind Darnell's is full of official antiques, you know what I mean?"" ""Dennis--"" The door banged. LeBay was coming back. It was just as well; further discussion would have been meaningless. I may not be the world's most sensitive human being, but when the signals are strong enough, I can pick them up. This was something Arnie felt he had to have, and I wasn't going to talk him out it. I didn't think anyone was going to talk him out of it. LeBay handed him the receipt with a flourish. Written on a plain sheet of notepaper in an old man's spidery and slightly trembli",Christine,1983
ight they were visited with a plague of hail out of a faultless sky and the horses shied and moaned and the men dismounted and sat upon the ground with their saddles over their heads while the hail leaped in the sand like small lucent eggs concocted alchemically out of the desert darkness. When they resaddled and rode on they went for miles through cobbled ice while a polar moon rose like a blind cat’s eye up over the rim of the world. In the night they passed the lights of a village on the plain but they did not alter from their course. Toward the morning they saw fires on the horizon. Glanton sent the Delawares. Already the dawnstar burned pale in the east. When they returned they squatted with Glanton and the judge and the Brown brothers and spoke and gestu,blood meridian,1985
"he human condition, but what of the angelic? Halfway between Allahgod and homosap, did they ever doubt? They did: challenging God's will one day they hid muttering beneath the Throne, daring to ask forbidden things: antiquestions. Is it right that. Could it not be argued. Freedom, the old antiquest. He calmed them down, naturally, employing management skills a la god. Flattered them: you will be the instruments of my will on earth, the salvationdamnation of man, all the usual etcetera. And hey presto, the end of protest, on with the haloes, back to work. Angels are easily pacified; turn them into instruments and they'll play your harpy tune. Human beings are tougher nuts, can doubt anything, even the evidence of their own eyes. Of behing-their-own-eyes. Of what, as they sink heavy-lidded, transpires behind closed peepers ... angels, they don't have much in the way of a will. To will is to disagree; not to submit; to dissent",the satanic verses,1988
"Cap sat and looked at Rainbird. His mind had divided, it seemed, had become a three-ring circus. Part of it was marveling that he had never heard John Rainbird say so much at one time. Part of it was trying to grapple with the idea that this maniac knew all of the Shop’s business. A third part was remembering a Chinese curse, a curse that sounded deceptively pleasant until you sat down and really thought about it. May you live in interesting times. For the last year and a half he had lived in extremely interesting times. He felt that just one more interesting thing would drive him totally insane",firestarter,1980
"onathan said: ""Father! What are you doing?"" Philip said to Remigius: ""Go on, do as I say."" Jonathan was horified, ""but Ftaher, how will you travel?""""I'll walk,"" Philip said happily. ""One of us must.""""Let Remigius walk!"" Jonathan said in a tone of outrage.""Let him ride,"" Philip said, ""He's pleased God today.""""What about you? Haven't you pleased God more than Remigius?""""Jesus said there's more joy in heaven over one sinner who repents than over ninety-nine righteous people,"" Philip countered. ""Don't youremember the parable of the prodigal son? When he came home, his father killed the fatted calf. The angels are rejoicing over Remigius's tears. The least I can do is give him my horse",the pillars of earth,1989
